,N,Query,Annotation_date,Number,Individual_code,Individual,Birth_year,File_name,Original_link,Hyperlink,Context,Item,Realization_raw,Realization_type,Binary_response,Stressed,Gram_type,Case,pos
41,42,words_in_uju,1606,354096,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-2989129-2994054.wav,"Ну, сейчас кидают еще мало, на #другую# приедут.",другую,uju,VjV,nondialectal,Y,pronominal,acc,2991591.5
42,43,words_in_uju,1606,354253,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-3092614-3098011.wav,"А то рожь посеют дак к зиме, к зиме, а на зиму #зимую# (? ).",зимую,uju,VjV,nondialectal,N,nonpronominal,acc,3095312.5
43,44,words_in_uju,1606,354329,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-3140930-3146987.wav,"Дома - то уж как когда как придется, в колхозе - то уж в #первую# очередь надо.",первую,u,V,dialectal,N,nonpronominal,acc,3143958.5
44,45,words_in_uju,1606,355222,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-3692800-3705819.wav,"А суслоны шесть, шесть штучек поставишь, шесть штучек, #шестую# шляпой поставишь, чтобы дождём не хлопало, это.",шестую,uju,VjV,nondialectal,Y,nonpronominal,acc,3699309.5
45,47,words_in_uju,1606,24376,мит1926,мит,1926.0,20130701a-mit-1,,http://192.168.0.50/Pushkino/OUT/20130701a-mit-1-307324-311192.wav,"У меня, ак я уж убрала, переставили #новую# эту.",новую,uju,VjV,nondialectal,N,nonpronominal,acc,309258.0
46,48,words_in_uju,1606,32576,мит1926,мит,1926.0,20130701a-mit-1,,http://192.168.0.50/Pushkino/OUT/20130701a-mit-1-3214351-3220335.wav,"Её оставили, отец - то женился, взял #другую# мол =, матери - то другой друго = не надо.",другую,uju,VjV,nondialectal,Y,pronominal,acc,3217343.0
47,49,words_in_uju,1606,125151,епл1926,епл,1926.0,20130704e-epl,,http://192.168.0.50/Pushkino/OUT/20130704e-epl-1356861-1360214.wav,"В #чужую# деревню ведь уходят, а раньше ведь машин не было.",чужую,uju,VjV,nondialectal,Y,nonpronominal,acc,1358537.5
48,50,words_in_uju,1606,125275,епл1926,епл,1926.0,20130704e-epl,,http://192.168.0.50/Pushkino/OUT/20130704e-epl-1422898-1427631.wav,А на серёдке сделают... тут #такую# железяшку приделают.,такую,uju,VjV,nondialectal,Y,pronominal,acc,1425264.5
49,51,words_in_uju,1606,125299,епл1926,епл,1926.0,20130704e-epl,,http://192.168.0.50/Pushkino/OUT/20130704e-epl-1436395-1440121.wav,Догорит - #другую# подсвечивают.,другую,uju,VjV,nondialectal,Y,pronominal,acc,1438258.0
50,53,words_in_uju,1606,128758,епл1926,епл,1926.0,20130704e-epl,,http://192.168.0.50/Pushkino/OUT/20130704e-epl-2940574-2942326.wav,"Платили, цену #хорошую# давали.",хорошую,u,V,dialectal,N,nonpronominal,acc,2941450.0
51,54,words_in_uju,1606,130786,епл1926,епл,1926.0,20130704e-epl,,http://192.168.0.50/Pushkino/OUT/20130704e-epl-3901285-3907739.wav,"Лес валили - валили, вдруг свалит, дерево - то летит, и она на = садится на #другую# ёлку.",другую,uju,VjV,nondialectal,Y,pronominal,acc,3904512.0
52,55,words_in_uju,1606,212389,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-278571-283213.wav,В #Бережную# как поедешь за реку дак там де = деревушка за рекой видко.,Бережную,uju,VjV,nondialectal,Y,nonpronominal,acc,280892.0
53,56,words_in_uju,1606,212543,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-327618-331397.wav,Я #полную# сумку наб = набрала... гороху - то накладу.,полную,u,V,dialectal,N,nonpronominal,acc,329507.5
54,57,words_in_uju,1606,214581,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1049747-1054500.wav,"Дак #старую# знаю, помню. такие.",старую,u,V,dialectal,N,nonpronominal,acc,1052123.5
55,58,words_in_uju,1606,214591,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1062563-1063910.wav, #Какую# же старую - то?,Какую,uju,VjV,nondialectal,Y,pronominal,acc,1063236.5
56,59,words_in_uju,1606,214593,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1062563-1063910.wav,Какую же #старую# - то?,старую,uju,VjV,nondialectal,N,nonpronominal,acc,1063236.5
57,60,words_in_uju,1606,214669,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1089684-1096310.wav,"Так вот тот - то запел всё #старую# песню. Не знаю еще, могу ли нет я вам спеть - то.",старую,uju,VjV,nondialectal,N,nonpronominal,acc,1092997.0
58,61,words_in_uju,1606,215188,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1486243-1491938.wav,"Дак были мельницы - то, дак не с чем на #большую# - то мельницу - то. Дадут всего килограмм дак.",большую,uju,VjV,nondialectal,Y,nonpronominal,acc,1489090.5
59,62,words_in_uju,1606,215515,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1590566-1600764.wav,"А потом его в = в костры... Вот... две горсти в эту <? > нарвешь, её разделишь, одну кладешь так, а #другую# - так во.",другую,uju,VjV,nondialectal,Y,pronominal,acc,1595665.0
60,63,words_in_uju,1606,215579,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-1620999-1628616.wav,"А она... в лесу вот сделают #такую# палку найдут, что... дай - ка вон веник - то, дак покажу.",такую,uju,VjV,nondialectal,Y,pronominal,acc,1624807.5
61,64,words_in_uju,1606,217026,епл1926,епл,1926.0,20130701c-epr,,http://192.168.0.50/Pushkino/OUT/20130701c-epr-2344830-2352084.wav,Дак. Говори - не говори да время - то то. Да еще операцию делали #тяжелую# . Почку удаляли.,тяжелую,uju,VjV,nondialectal,N,nonpronominal,acc,2348457.0
62,65,eku,1606,126117,епл1926,епл,1926.0,20130704e-epl,,http://192.168.0.50/Pushkino/OUT/20130704e-epl-1775465-1780132.wav,"Там всё откормил, потом коляску укатил, принёс нам #эку# трубку!",эку,u,V,dialectal,Y,pronominal,acc,1777798.5
63,66,a_pos_f_sg_acc_in_u,1606,28428,мит1926,мит,1926.0,20130701a-mit-1,,http://192.168.0.50/Pushkino/OUT/20130701a-mit-1-1595502-1600623.wav,"Вот так в #лешебну# избушку пришли, и дровец нету надо бы затопить.",лешебну,u,V,dialectal,N,nonpronominal,acc,1598062.5
64,67,words_in_uju,1606,580,пфп1928,пфп,1928.0,20130626c-pfp-2,,http://192.168.0.50/Pushkino/OUT/20130626c-pfp-2-20891-24927.wav," #Маленькую# - то девочку, хоть бы не оцарапнула руку эва!.",Маленькую,u,V,dialectal,N,nonpronominal,acc,22909.0
65,68,words_in_uju,1606,135553,пфп1928,пфп,1928.0,I20130625c1,,http://192.168.0.50/Pushkino/OUT/I20130625c1-939531-945006.wav,А он эдак <??? > на кровать #железную# и рвёт его.,железную,u,V,dialectal,N,nonpronominal,acc,942268.5
66,69,words_in_uju,1606,140892,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-279116-285608.wav,"Он там, конечно, идет, молитву читает там #какую# , а вот уж какую молитву, не знаю, молитвы.",какую,uju,VjV,nondialectal,Y,pronominal,acc,282362.0
67,70,words_in_uju,1606,140897,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-279116-285608.wav,"Он там, конечно, идет, молитву читает там какую, а вот уж #какую# молитву, не знаю, молитвы.",какую,uju,VjV,nondialectal,Y,pronominal,acc,282362.0
68,71,words_in_uju,1606,141196,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-396247-398024.wav,Тоже #какую# - то порчу делают.,какую,uju,VjV,nondialectal,Y,pronominal,acc,397135.5
69,72,words_in_uju,1606,144853,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-1973419-1978586.wav,"Да как не знала, у нас вот отца - то на #Финскую# - то войну требовали, вот.",Финскую,uju,VjV,nondialectal,N,nonpronominal,acc,1976002.5
70,73,words_in_uju,1606,144899,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-1990558-2002831.wav,"Дак на #Финскую# войну он тоже... приш = пришел документы уж на стол, ну, в военкомате, и сказали, что все, война кончилась, его отправили домой.",Финскую,uju,VjV,nondialectal,N,nonpronominal,acc,1996694.5
71,74,words_in_uju,1606,144939,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-2004323-2016116.wav,"И на эту войну тоже, на #Отечественную# - то, тоже до того, что уж все, что его, повестка пришла, и тоже в аккурат так, что война кончилась.",Отечественную,uju,VjV,nondialectal,N,nonpronominal,acc,2010219.5
72,75,words_in_uju,1606,145940,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-2421018-2427581.wav,"Ничего такого не рассказывала, она рассказывала только, как ее в замуж хотели отдать в #другую# деревню.",другую,uju,VjV,nondialectal,Y,pronominal,acc,2424299.5
73,76,words_in_uju,1606,147337,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-2918707-2926919.wav,"Дак сво = вот и... вот этой - то, а так - то как если стали краску - то после привозить да покупать дак #всякую# ку = покупали.",всякую,uju,VjV,nondialectal,N,pronominal,acc,2922813.0
