,Index,Subject,Birth year,Record,Link,FileLink,Context,Word,Dissimilation,Num,pos
477,374842,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-800327-804755.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-800327-804755.wav,"Кто не ленился, тот жил. #Кто# ленился, тот не жил.",хто,yes,1.0,802541.0
478,375479,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1123448-1128631.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1123448-1128631.wav," #Кто# со Строевского, кто вот... Так. Со своего района почти все женщины были.",кто,no,0.0,1126039.5
479,375483,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1123448-1128631.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1123448-1128631.wav,"Кто со Строевского, #кто# вот... Так. Со своего района почти все женщины были.",кто,no,0.0,1126039.5
480,375530,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1143464-1146253.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1143464-1146253.wav," #Кто# бы у них не учился, все вышли в люди.",кто,no,0.0,1144858.5
481,376291,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1455541-1459753.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1455541-1459753.wav,"<? > #кто# тогда с Горького или откули работали, вот эту контору - то у нас...",хто,yes,1.0,1457647.0
482,376808,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1714039-1715531.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1714039-1715531.wav," #Кто# повешал, то и снимет.",,????,,1714785.0
483,375878,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1272087-1273833.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-1272087-1273833.wav, #Никто# не надо.,,????,,1272960.0
484,261479,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-61696-62980.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-61696-62980.wav," #Кто# знает, какого?",хто,yes,1.0,62338.0
485,261495,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-71305-72156.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-71305-72156.wav, #Кто# знает...,хто,yes,1.0,71730.5
486,261804,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-214424-221508.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-214424-221508.wav,Какому как живётся ишь... #кто# как... грамотный человек - он живёт хорошо. А безграмотному человеку теперь тьма!,хто,yes,1.0,217966.0
